pitcher_name,source_file,game_date,game_pk,game_year,home_team,away_team,stand,p_throws,inning,inning_topbot,outs_when_up,balls,strikes,at_bat_number,pitch_number,runners_on_1b,runners_on_2b,runners_on_3b,bat_score_diff,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,age_pit,age_bat,if_fielding_alignment,of_fielding_alignment,target_pitch_type,target_pitch_name,target_plate_x,target_plate_z,target_location_bucket
"Taillon, Jameson",jamesonTaillon.csv,2022-04-11,661315,2022,NYY,TOR,R,R,1,Top,0,0,0,1,1,0,0,0,0,1,0,6,1,31,33,Infield shift,Standard,FF,4-Seam Fastball,-0.057702,3.457976,high_center
"Taillon, Jameson",jamesonTaillon.csv,2022-04-11,661315,2022,NYY,TOR,R,R,1,Top,0,0,1,1,2,0,0,0,0,1,0,6,1,31,33,Infield shift,Standard,SI,Sinker,-0.462395,3.733803,above_left
"Taillon, Jameson",jamesonTaillon.csv,2022-04-11,661315,2022,NYY,TOR,R,R,1,Top,0,0,2,1,3,0,0,0,0,1,0,6,1,31,33,Infield shift,Standard,FF,4-Seam Fastball,0.397381,4.120795,above_right
"Taillon, Jameson",jamesonTaillon.csv,2022-04-11,661315,2022,NYY,TOR,R,R,1,Top,0,1,2,1,4,0,0,0,0,1,0,6,1,31,33,Infield shift,Standard,SL,Slider,1.080188,0.829632,below_inside
"Taillon, Jameson",jamesonTaillon.csv,2022-04-11,661315,2022,NYY,TOR,R,R,1,Top,0,2,2,1,5,0,0,0,0,1,0,6,1,31,33,Infield shift,Standard,SI,Sinker,-0.774353,2.908827,high_left
"Taillon, Jameson",jamesonTaillon.csv,2022-04-11,661315,2022,NYY,TOR,R,R,1,Top,0,2,2,1,6,0,0,0,0,1,0,6,1,31,33,Infield shift,Standard,FF,4-Seam Fastball,0.030095,2.419925,middle_center
"Taillon, Jameson",jamesonTaillon.csv,2022-04-11,661315,2022,NYY,TOR,R,R,1,Top,0,2,2,1,7,0,0,0,0,1,0,6,1,31,33,Infield shift,Standard,SL,Slider,-0.360809,3.505908,above_left
"Taillon, Jameson",jamesonTaillon.csv,2022-04-11,661315,2022,NYY,TOR,R,R,1,Top,0,2,2,1,8,0,0,0,0,1,0,6,1,31,33,Infield shift,Standard,FF,4-Seam Fastball,-0.222812,3.492609,above_center
"Taillon, Jameson",jamesonTaillon.csv,2022-04-11,661315,2022,NYY,TOR,R,R,1,Top,0,0,0,2,1,1,0,0,0,1,0,6,1,31,24,Standard,Standard,FF,4-Seam Fastball,-0.478456,3.349527,high_left
"Taillon, Jameson",jamesonTaillon.csv,2022-04-11,661315,2022,NYY,TOR,R,R,1,Top,0,0,1,2,2,1,0,0,0,1,0,6,1,31,24,Standard,Standard,SI,Sinker,-0.432733,3.647097,above_left
"Taillon, Jameson",jamesonTaillon.csv,2022-04-11,661315,2022,NYY,TOR,R,R,1,Top,0,0,2,2,3,1,0,0,0,1,0,6,1,31,24,Standard,Standard,FF,4-Seam Fastball,-0.107002,3.213314,high_center
"Taillon, Jameson",jamesonTaillon.csv,2022-04-11,661315,2022,NYY,TOR,R,R,1,Top,1,0,0,3,1,1,0,0,0,1,0,6,1,31,23,Standard,Standard,SL,Slider,0.213761,3.346554,high_center
"Taillon, Jameson",jamesonTaillon.csv,2022-04-11,661315,2022,NYY,TOR,R,R,1,Top,1,0,1,3,2,1,0,0,0,1,0,6,1,31,23,Standard,Standard,SI,Sinker,-1.273972,2.967988,high_outside
"Taillon, Jameson",jamesonTaillon.csv,2022-04-11,661315,2022,NYY,TOR,R,R,1,Top,2,0,0,4,1,1,0,0,0,1,0,6,1,31,30,Standard,Strategic,FF,4-Seam Fastball,0.584688,2.160818,low_right
"Taillon, Jameson",jamesonTaillon.csv,2022-04-11,661315,2022,NYY,TOR,R,R,1,Top,2,0,1,4,2,1,0,0,0,1,0,6,1,31,30,Standard,Standard,FF,4-Seam Fastball,1.333164,1.917095,low_inside
"Taillon, Jameson",jamesonTaillon.csv,2022-04-11,661315,2022,NYY,TOR,R,R,1,Top,2,1,1,4,3,1,0,0,0,1,0,6,1,31,30,Standard,Standard,SL,Slider,0.633424,1.304842,below_right
"Taillon, Jameson",jamesonTaillon.csv,2022-04-11,661315,2022,NYY,TOR,R,R,1,Top,2,1,2,4,4,1,0,0,0,1,0,6,1,31,30,Standard,Standard,FF,4-Seam Fastball,0.218091,3.312893,high_center
"Taillon, Jameson",jamesonTaillon.csv,2022-04-11,661315,2022,NYY,TOR,R,R,2,Top,0,0,0,8,1,0,0,0,0,1,0,6,1,31,29,Standard,Standard,SL,Slider,0.290701,0.95997,below_right
"Taillon, Jameson",jamesonTaillon.csv,2022-04-11,661315,2022,NYY,TOR,R,R,2,Top,0,0,1,8,2,0,0,0,0,1,0,6,1,31,29,Standard,Standard,FF,4-Seam Fastball,-0.004033,2.602028,middle_center
"Taillon, Jameson",jamesonTaillon.csv,2022-04-11,661315,2022,NYY,TOR,R,R,2,Top,0,0,2,8,3,0,0,0,0,1,0,6,1,31,29,Standard,Standard,SL,Slider,0.668636,1.263847,below_right
"Taillon, Jameson",jamesonTaillon.csv,2022-04-11,661315,2022,NYY,TOR,R,R,2,Top,0,1,2,8,4,0,0,0,0,1,0,6,1,31,29,Standard,Standard,FF,4-Seam Fastball,-0.337904,3.243904,high_left
"Taillon, Jameson",jamesonTaillon.csv,2022-04-11,661315,2022,NYY,TOR,R,R,2,Top,1,0,0,9,1,0,0,0,0,1,0,6,2,31,24,Standard,Standard,FF,4-Seam Fastball,-0.109342,3.265809,above_center
"Taillon, Jameson",jamesonTaillon.csv,2022-04-11,661315,2022,NYY,TOR,R,R,2,Top,2,0,0,10,1,0,0,0,0,1,0,6,1,31,29,Standard,Standard,FF,4-Seam Fastball,0.582342,1.662727,below_right
"Taillon, Jameson",jamesonTaillon.csv,2022-04-11,661315,2022,NYY,TOR,R,R,2,Top,2,0,1,10,2,0,0,0,0,1,0,6,1,31,29,Standard,Standard,SI,Sinker,-0.976818,3.104707,high_outside
"Taillon, Jameson",jamesonTaillon.csv,2022-04-11,661315,2022,NYY,TOR,R,R,2,Top,2,0,2,10,3,0,0,0,0,1,0,6,1,31,29,Standard,Standard,CU,Curveball,-0.12224,2.29415,middle_center
"Taillon, Jameson",jamesonTaillon.csv,2022-04-11,661315,2022,NYY,TOR,L,R,3,Top,0,0,0,15,1,0,0,0,0,1,0,6,1,31,27,Infield shift,Standard,FF,4-Seam Fastball,-0.762962,2.885569,middle_left
"Taillon, Jameson",jamesonTaillon.csv,2022-04-11,661315,2022,NYY,TOR,L,R,3,Top,0,0,1,15,2,0,0,0,0,1,0,6,1,31,27,Infield shift,Standard,CH,Changeup,-1.051995,1.862537,low_outside
"Taillon, Jameson",jamesonTaillon.csv,2022-04-11,661315,2022,NYY,TOR,L,R,3,Top,0,0,2,15,3,0,0,0,0,1,0,6,1,31,27,Infield shift,Standard,CH,Changeup,-2.448776,3.648324,high_outside
"Taillon, Jameson",jamesonTaillon.csv,2022-04-11,661315,2022,NYY,TOR,L,R,3,Top,0,1,2,15,4,0,0,0,0,1,0,6,1,31,27,Infield shift,Standard,FF,4-Seam Fastball,-1.417916,3.546992,high_outside
"Taillon, Jameson",jamesonTaillon.csv,2022-04-11,661315,2022,NYY,TOR,L,R,3,Top,0,2,2,15,5,0,0,0,0,1,0,6,1,31,27,Infield shift,Standard,FF,4-Seam Fastball,-1.071925,2.556103,middle_outside
"Taillon, Jameson",jamesonTaillon.csv,2022-04-11,661315,2022,NYY,TOR,R,R,3,Top,1,0,0,16,1,0,0,0,0,1,0,6,1,31,28,Standard,Standard,FC,Cutter,0.62567,1.675735,low_right
"Taillon, Jameson",jamesonTaillon.csv,2022-04-11,661315,2022,NYY,TOR,R,R,3,Top,1,0,1,16,2,0,0,0,0,1,0,6,1,31,28,Standard,Standard,FF,4-Seam Fastball,0.125553,2.40384,middle_center
"Taillon, Jameson",jamesonTaillon.csv,2022-04-11,661315,2022,NYY,TOR,R,R,3,Top,1,0,2,16,3,0,0,0,0,1,0,6,1,31,28,Standard,Standard,SL,Slider,1.261797,1.46558,below_inside
"Taillon, Jameson",jamesonTaillon.csv,2022-04-11,661315,2022,NYY,TOR,R,R,3,Top,1,1,2,16,4,0,0,0,0,1,0,6,1,31,28,Standard,Standard,SL,Slider,1.604623,0.466594,below_inside
"Taillon, Jameson",jamesonTaillon.csv,2022-04-11,661315,2022,NYY,TOR,R,R,3,Top,1,2,2,16,5,0,0,0,0,1,0,6,1,31,28,Standard,Standard,FF,4-Seam Fastball,0.029768,3.240638,high_center
"Taillon, Jameson",jamesonTaillon.csv,2022-04-11,661315,2022,NYY,TOR,R,R,3,Top,1,0,0,17,1,1,0,0,0,2,1,6,1,31,33,Infield shift,Standard,SI,Sinker,-1.123492,2.858015,high_outside
"Taillon, Jameson",jamesonTaillon.csv,2022-04-11,661315,2022,NYY,TOR,R,R,3,Top,1,0,1,17,2,1,0,0,0,2,1,6,1,31,33,Infield shift,Standard,SL,Slider,-0.29603,2.570823,middle_left
"Taillon, Jameson",jamesonTaillon.csv,2022-04-11,661315,2022,NYY,TOR,R,R,3,Top,1,0,0,18,1,0,0,0,2,2,1,6,1,31,24,Standard,Standard,CU,Curveball,0.284022,2.214184,low_right
"Taillon, Jameson",jamesonTaillon.csv,2022-04-11,661315,2022,NYY,TOR,R,R,3,Top,1,0,1,18,2,0,0,0,2,2,1,6,1,31,24,Standard,Standard,SI,Sinker,-1.216739,3.867328,above_outside
"Taillon, Jameson",jamesonTaillon.csv,2022-04-11,661315,2022,NYY,TOR,R,R,3,Top,1,0,2,18,3,0,0,0,2,2,1,6,1,31,24,Standard,Standard,FF,4-Seam Fastball,0.489266,2.675346,middle_right
"Taillon, Jameson",jamesonTaillon.csv,2022-04-11,661315,2022,NYY,TOR,R,R,3,Top,2,0,0,19,1,0,0,0,2,2,1,6,1,31,23,Standard,Standard,SI,Sinker,0.063608,1.175059,below_center
"Taillon, Jameson",jamesonTaillon.csv,2022-04-11,661315,2022,NYY,TOR,R,R,3,Top,2,1,0,19,2,0,0,0,2,2,1,6,1,31,23,Standard,Standard,FF,4-Seam Fastball,0.331695,2.404346,middle_right
"Taillon, Jameson",jamesonTaillon.csv,2022-04-11,661315,2022,NYY,TOR,R,R,3,Top,2,1,1,19,3,0,0,0,2,2,1,6,1,31,23,Standard,Standard,SL,Slider,1.102018,2.08178,low_inside
"Taillon, Jameson",jamesonTaillon.csv,2022-04-11,661315,2022,NYY,TOR,R,R,3,Top,2,2,1,19,4,0,0,0,2,2,1,6,1,31,23,Standard,Standard,SL,Slider,0.07049,1.55029,below_center
"Taillon, Jameson",jamesonTaillon.csv,2022-04-11,661315,2022,NYY,TOR,R,R,3,Top,2,2,2,19,5,0,0,0,2,2,1,6,1,31,23,Standard,Standard,FF,4-Seam Fastball,0.6366,3.140067,high_right
"Taillon, Jameson",jamesonTaillon.csv,2022-04-11,661315,2022,NYY,TOR,R,R,4,Top,0,0,0,26,1,0,0,0,2,2,1,6,1,31,30,Standard,Standard,CU,Curveball,-0.172403,2.823349,middle_center
"Taillon, Jameson",jamesonTaillon.csv,2022-04-11,661315,2022,NYY,TOR,R,R,4,Top,0,0,1,26,2,0,0,0,2,2,1,6,1,31,30,Standard,Standard,FF,4-Seam Fastball,1.452174,1.626264,below_inside
"Taillon, Jameson",jamesonTaillon.csv,2022-04-11,661315,2022,NYY,TOR,R,R,4,Top,0,1,1,26,3,0,0,0,2,2,1,6,1,31,30,Standard,Standard,SI,Sinker,-1.651569,2.774587,middle_outside
"Taillon, Jameson",jamesonTaillon.csv,2022-04-11,661315,2022,NYY,TOR,R,R,4,Top,0,2,1,26,4,0,0,0,2,2,1,6,1,31,30,Standard,Standard,SL,Slider,-0.04969,1.594251,below_center
"Taillon, Jameson",jamesonTaillon.csv,2022-04-11,661315,2022,NYY,TOR,R,R,4,Top,0,2,2,26,5,0,0,0,2,2,1,6,1,31,30,Standard,Standard,SL,Slider,0.410039,2.499586,middle_right
"Taillon, Jameson",jamesonTaillon.csv,2022-04-11,661315,2022,NYY,TOR,R,R,4,Top,0,0,0,27,1,0,1,0,2,2,1,6,1,31,29,Standard,Standard,SI,Sinker,-1.048147,2.164889,low_outside
"Taillon, Jameson",jamesonTaillon.csv,2022-04-11,661315,2022,NYY,TOR,R,R,4,Top,1,0,0,28,1,0,1,0,2,2,1,6,2,31,24,Standard,Standard,SL,Slider,0.67879,1.189938,below_right
"Taillon, Jameson",jamesonTaillon.csv,2022-04-11,661315,2022,NYY,TOR,R,R,4,Top,1,1,0,28,2,0,1,0,2,2,1,6,2,31,24,Standard,Standard,FF,4-Seam Fastball,-0.070678,2.964642,high_center
"Taillon, Jameson",jamesonTaillon.csv,2022-04-11,661315,2022,NYY,TOR,R,R,4,Top,2,0,0,29,1,0,1,0,2,2,1,6,1,31,29,Standard,Standard,FF,4-Seam Fastball,0.997591,2.803935,middle_inside
"Taillon, Jameson",jamesonTaillon.csv,2022-04-11,661315,2022,NYY,TOR,R,R,4,Top,2,0,1,29,2,0,1,0,2,2,1,6,1,31,29,Standard,Standard,SI,Sinker,0.059599,1.669312,low_center
"Taillon, Jameson",jamesonTaillon.csv,2022-04-11,661315,2022,NYY,TOR,R,R,4,Top,2,1,1,29,3,0,1,0,2,2,1,6,1,31,29,Standard,Standard,SI,Sinker,-0.821484,2.053939,low_left
"Taillon, Jameson",jamesonTaillon.csv,2022-04-11,661315,2022,NYY,TOR,R,R,4,Top,2,1,2,29,4,0,1,0,2,2,1,6,1,31,29,Standard,Standard,CU,Curveball,0.67354,1.574484,low_right
"Taillon, Jameson",jamesonTaillon.csv,2022-04-11,661315,2022,NYY,TOR,L,R,5,Top,0,0,0,34,1,0,0,0,2,2,1,6,1,31,27,Infield shift,Standard,CH,Changeup,-0.975747,1.22261,below_outside
"Taillon, Jameson",jamesonTaillon.csv,2022-04-11,661315,2022,NYY,TOR,L,R,5,Top,0,1,0,34,2,0,0,0,2,2,1,6,1,31,27,Infield shift,Standard,FF,4-Seam Fastball,-0.634825,3.092328,high_left
"Taillon, Jameson",jamesonTaillon.csv,2022-04-11,661315,2022,NYY,TOR,L,R,5,Top,0,1,1,34,3,0,0,0,2,2,1,6,1,31,27,Infield shift,Standard,FF,4-Seam Fastball,-1.068619,2.607236,middle_outside
"Taillon, Jameson",jamesonTaillon.csv,2022-04-11,661315,2022,NYY,TOR,L,R,5,Top,0,2,1,34,4,0,0,0,2,2,1,6,1,31,27,Infield shift,Standard,CH,Changeup,-0.238784,2.202833,low_center
"Taillon, Jameson",jamesonTaillon.csv,2022-04-11,661315,2022,NYY,TOR,L,R,5,Top,0,2,2,34,5,0,0,0,2,2,1,6,1,31,27,Infield shift,Standard,FF,4-Seam Fastball,-0.833882,2.588464,middle_outside
"Taillon, Jameson",jamesonTaillon.csv,2022-04-11,661315,2022,NYY,TOR,L,R,5,Top,0,2,2,34,6,0,0,0,2,2,1,6,1,31,27,Infield shift,Standard,CH,Changeup,-1.092637,1.721185,low_outside
"Taillon, Jameson",jamesonTaillon.csv,2022-04-11,661315,2022,NYY,TOR,R,R,5,Top,1,0,0,35,1,0,0,0,2,2,1,6,1,31,28,Standard,Standard,CU,Curveball,0.808309,1.015829,below_right
"Taillon, Jameson",jamesonTaillon.csv,2022-04-11,661315,2022,NYY,TOR,R,R,5,Top,1,1,0,35,2,0,0,0,2,2,1,6,1,31,28,Standard,Standard,FF,4-Seam Fastball,-0.12914,1.882652,low_center
"Taillon, Jameson",jamesonTaillon.csv,2022-04-11,661315,2022,NYY,TOR,R,R,5,Top,1,1,1,35,3,0,0,0,2,2,1,6,1,31,28,Standard,Standard,FF,4-Seam Fastball,-0.232519,2.353372,middle_center
"Taillon, Jameson",jamesonTaillon.csv,2022-04-11,661315,2022,NYY,TOR,R,R,5,Top,1,0,0,36,1,1,0,0,2,3,2,6,1,31,33,Infield shift,Standard,SL,Slider,1.267992,0.981289,below_inside
"Taillon, Jameson",jamesonTaillon.csv,2022-04-11,661315,2022,NYY,TOR,R,R,5,Top,1,1,0,36,2,1,0,0,2,3,2,6,1,31,33,Infield shift,Standard,SI,Sinker,-0.098221,2.375741,middle_center
"Taillon, Jameson",jamesonTaillon.csv,2022-04-11,661315,2022,NYY,TOR,R,R,5,Top,2,0,0,37,1,1,0,0,2,3,2,6,1,31,24,Standard,Standard,FF,4-Seam Fastball,0.696223,2.516366,middle_right
"Taillon, Jameson",jamesonTaillon.csv,2022-04-11,661315,2022,NYY,TOR,R,R,5,Top,2,0,1,37,2,1,0,0,2,3,2,6,1,31,24,Standard,Standard,FF,4-Seam Fastball,-0.191128,4.019767,above_center
"Taillon, Jameson",jamesonTaillon.csv,2022-04-11,661315,2022,NYY,TOR,R,R,5,Top,2,0,2,37,3,1,0,0,2,3,2,6,1,31,24,Standard,Standard,FF,4-Seam Fastball,0.882931,4.570997,above_inside
"Taillon, Jameson",jamesonTaillon.csv,2022-04-11,661315,2022,NYY,TOR,R,R,5,Top,2,1,2,37,4,0,1,0,2,3,2,6,1,31,24,Standard,Standard,CU,Curveball,-0.599841,2.116869,low_left
"Taillon, Jameson",jamesonTaillon.csv,2022-04-16,663266,2022,BAL,NYY,L,R,1,Bot,0,0,0,5,1,0,0,0,0,1,0,5,1,31,28,Infield shade,Standard,FF,4-Seam Fastball,0.71741,1.934182,low_right
"Taillon, Jameson",jamesonTaillon.csv,2022-04-16,663266,2022,BAL,NYY,L,R,1,Bot,0,0,1,5,2,0,0,0,0,1,0,5,1,31,28,Infield shade,Standard,FF,4-Seam Fastball,0.652658,2.518786,middle_right
"Taillon, Jameson",jamesonTaillon.csv,2022-04-16,663266,2022,BAL,NYY,L,R,1,Bot,0,0,2,5,3,0,0,0,0,1,0,5,1,31,28,Infield shade,Standard,CU,Curveball,0.196252,0.573413,below_center
"Taillon, Jameson",jamesonTaillon.csv,2022-04-16,663266,2022,BAL,NYY,L,R,1,Bot,0,1,2,5,4,0,0,0,0,1,0,5,1,31,28,Infield shade,Standard,CU,Curveball,-0.396838,2.3478,middle_left
"Taillon, Jameson",jamesonTaillon.csv,2022-04-16,663266,2022,BAL,NYY,R,R,1,Bot,1,0,0,6,1,0,0,0,0,1,0,5,1,31,28,Standard,Standard,FF,4-Seam Fastball,-0.786203,1.671714,low_left
"Taillon, Jameson",jamesonTaillon.csv,2022-04-16,663266,2022,BAL,NYY,L,R,1,Bot,2,0,0,7,1,0,0,0,0,1,0,5,1,31,28,Infield shade,Standard,FF,4-Seam Fastball,0.174416,3.109172,above_center
"Taillon, Jameson",jamesonTaillon.csv,2022-04-16,663266,2022,BAL,NYY,L,R,1,Bot,2,0,1,7,2,0,0,0,0,1,0,5,1,31,28,Infield shade,Standard,CU,Curveball,-1.416976,2.265091,middle_outside
"Taillon, Jameson",jamesonTaillon.csv,2022-04-16,663266,2022,BAL,NYY,L,R,1,Bot,2,1,1,7,3,0,0,0,0,1,0,5,1,31,28,Infield shade,Standard,FF,4-Seam Fastball,0.170061,1.003162,below_center
"Taillon, Jameson",jamesonTaillon.csv,2022-04-16,663266,2022,BAL,NYY,L,R,1,Bot,2,2,1,7,4,0,0,0,0,1,0,5,1,31,28,Infield shade,Standard,CU,Curveball,1.271281,0.260136,below_inside
"Taillon, Jameson",jamesonTaillon.csv,2022-04-16,663266,2022,BAL,NYY,L,R,1,Bot,2,3,1,7,5,0,0,0,0,1,0,5,1,31,28,Infield shift,Standard,FF,4-Seam Fastball,-0.272542,2.004116,low_center
"Taillon, Jameson",jamesonTaillon.csv,2022-04-16,663266,2022,BAL,NYY,L,R,1,Bot,2,3,2,7,6,0,0,0,0,1,0,5,1,31,28,Infield shift,Standard,FF,4-Seam Fastball,-0.028564,2.376768,middle_center
"Taillon, Jameson",jamesonTaillon.csv,2022-04-16,663266,2022,BAL,NYY,L,R,1,Bot,2,3,2,7,7,0,0,0,0,1,0,5,1,31,28,Infield shift,Standard,FF,4-Seam Fastball,0.182537,2.328029,middle_center
"Taillon, Jameson",jamesonTaillon.csv,2022-04-16,663266,2022,BAL,NYY,R,R,2,Bot,0,0,0,12,1,0,0,0,0,1,0,5,1,31,25,Strategic,Standard,SI,Sinker,-0.700447,2.92251,high_left
"Taillon, Jameson",jamesonTaillon.csv,2022-04-16,663266,2022,BAL,NYY,R,R,2,Bot,0,0,1,12,2,0,0,0,0,1,0,5,1,31,25,Strategic,Standard,SL,Slider,0.760342,0.556058,below_right
"Taillon, Jameson",jamesonTaillon.csv,2022-04-16,663266,2022,BAL,NYY,R,R,2,Bot,0,1,1,12,3,0,0,0,0,1,0,5,1,31,25,Standard,Standard,SL,Slider,0.02217,2.01498,low_center
"Taillon, Jameson",jamesonTaillon.csv,2022-04-16,663266,2022,BAL,NYY,R,R,2,Bot,0,1,2,12,4,0,0,0,0,1,0,5,1,31,25,Standard,Standard,CU,Curveball,0.428929,2.125213,low_right
"Taillon, Jameson",jamesonTaillon.csv,2022-04-16,663266,2022,BAL,NYY,R,R,2,Bot,1,0,0,13,1,0,0,0,0,1,0,5,1,31,30,Standard,Standard,SL,Slider,0.005525,2.480796,middle_center
"Taillon, Jameson",jamesonTaillon.csv,2022-04-16,663266,2022,BAL,NYY,R,R,2,Bot,1,0,1,13,2,0,0,0,0,1,0,5,1,31,30,Standard,Standard,SI,Sinker,-1.215774,3.141318,high_outside
"Taillon, Jameson",jamesonTaillon.csv,2022-04-16,663266,2022,BAL,NYY,R,R,2,Bot,1,0,2,13,3,0,0,0,0,1,0,5,1,31,30,Standard,Standard,CU,Curveball,0.065306,0.798998,below_center
"Taillon, Jameson",jamesonTaillon.csv,2022-04-16,663266,2022,BAL,NYY,R,R,2,Bot,1,1,2,13,4,0,0,0,0,1,0,5,1,31,30,Strategic,Standard,FF,4-Seam Fastball,0.804288,1.548067,below_right
"Taillon, Jameson",jamesonTaillon.csv,2022-04-16,663266,2022,BAL,NYY,R,R,2,Bot,1,1,2,13,5,0,0,0,0,1,0,5,1,31,30,Standard,Standard,SL,Slider,1.218444,0.744776,below_inside
"Taillon, Jameson",jamesonTaillon.csv,2022-04-16,663266,2022,BAL,NYY,R,R,2,Bot,1,2,2,13,6,0,0,0,0,1,0,5,1,31,30,Strategic,Standard,SI,Sinker,-0.412198,1.808313,low_left
"Taillon, Jameson",jamesonTaillon.csv,2022-04-16,663266,2022,BAL,NYY,L,R,2,Bot,2,0,0,14,1,0,0,0,0,1,0,5,1,31,28,Infield shift,Standard,FF,4-Seam Fastball,0.59516,3.632252,above_right
"Taillon, Jameson",jamesonTaillon.csv,2022-04-16,663266,2022,BAL,NYY,L,R,2,Bot,2,1,0,14,2,0,0,0,0,1,0,5,1,31,28,Infield shift,Standard,FC,Cutter,1.9451,1.278237,below_inside
"Taillon, Jameson",jamesonTaillon.csv,2022-04-16,663266,2022,BAL,NYY,L,R,2,Bot,2,2,0,14,3,0,0,0,0,1,0,5,1,31,28,Infield shift,Standard,FF,4-Seam Fastball,-0.153691,1.88777,low_center
"Taillon, Jameson",jamesonTaillon.csv,2022-04-16,663266,2022,BAL,NYY,L,R,2,Bot,2,2,1,14,4,0,0,0,0,1,0,5,1,31,28,Infield shift,Standard,FC,Cutter,0.79042,2.782021,high_right
"Taillon, Jameson",jamesonTaillon.csv,2022-04-16,663266,2022,BAL,NYY,R,R,3,Bot,0,0,0,21,1,0,0,0,0,1,0,5,1,31,27,Standard,Standard,CU,Curveball,0.231834,2.709336,high_center
"Taillon, Jameson",jamesonTaillon.csv,2022-04-16,663266,2022,BAL,NYY,R,R,3,Bot,0,0,1,21,2,0,0,0,0,1,0,5,1,31,27,Standard,Standard,CU,Curveball,0.85502,0.603639,below_inside
"Taillon, Jameson",jamesonTaillon.csv,2022-04-16,663266,2022,BAL,NYY,R,R,3,Bot,0,1,1,21,3,0,0,0,0,1,0,5,1,31,27,Standard,Standard,FF,4-Seam Fastball,0.246632,2.177424,middle_center
"Taillon, Jameson",jamesonTaillon.csv,2022-04-16,663266,2022,BAL,NYY,R,R,3,Bot,0,0,0,22,1,1,0,0,0,1,0,5,1,31,27,Standard,Standard,SI,Sinker,0.283072,3.994344,above_right
"Taillon, Jameson",jamesonTaillon.csv,2022-04-16,663266,2022,BAL,NYY,R,R,3,Bot,0,1,0,22,2,1,0,0,0,1,0,5,1,31,27,Standard,Standard,SL,Slider,-0.296067,2.504367,middle_left
"Taillon, Jameson",jamesonTaillon.csv,2022-04-16,663266,2022,BAL,NYY,L,R,3,Bot,1,0,0,23,1,0,1,0,0,1,0,5,1,31,32,Infield shade,Standard,FF,4-Seam Fastball,-0.742457,2.734986,high_left
"Taillon, Jameson",jamesonTaillon.csv,2022-04-16,663266,2022,BAL,NYY,L,R,3,Bot,1,0,1,23,2,0,1,0,0,1,0,5,1,31,32,Infield shade,Standard,CU,Curveball,-1.183616,2.174976,middle_outside
"Taillon, Jameson",jamesonTaillon.csv,2022-04-16,663266,2022,BAL,NYY,L,R,3,Bot,1,1,1,23,3,0,1,0,0,1,0,5,1,31,32,Standard,Standard,CU,Curveball,-0.651618,1.662409,low_left
"Taillon, Jameson",jamesonTaillon.csv,2022-04-16,663266,2022,BAL,NYY,L,R,3,Bot,1,1,2,23,4,0,1,0,0,1,0,5,1,31,32,Infield shade,Standard,FF,4-Seam Fastball,-0.004348,3.069617,high_center
"Taillon, Jameson",jamesonTaillon.csv,2022-04-16,663266,2022,BAL,NYY,L,R,3,Bot,1,1,2,23,5,0,1,0,0,1,0,5,1,31,32,Standard,Standard,FF,4-Seam Fastball,0.131373,3.257535,high_center
"Taillon, Jameson",jamesonTaillon.csv,2022-04-16,663266,2022,BAL,NYY,L,R,3,Bot,1,1,2,23,6,0,1,0,0,1,0,5,1,31,32,Infield shade,Standard,CU,Curveball,0.126067,2.023991,low_center
"Taillon, Jameson",jamesonTaillon.csv,2022-04-16,663266,2022,BAL,NYY,L,R,3,Bot,2,0,0,24,1,0,0,1,0,2,1,5,1,31,28,Infield shade,Standard,FC,Cutter,1.252288,2.263502,middle_inside
"Taillon, Jameson",jamesonTaillon.csv,2022-04-16,663266,2022,BAL,NYY,L,R,3,Bot,2,1,0,24,2,0,0,1,0,2,1,5,1,31,28,Infield shade,Standard,FF,4-Seam Fastball,-0.518479,4.047793,above_left
"Taillon, Jameson",jamesonTaillon.csv,2022-04-16,663266,2022,BAL,NYY,L,R,3,Bot,2,2,0,24,3,0,0,1,0,2,1,5,1,31,28,Infield shade,Standard,FC,Cutter,0.818613,1.517846,below_right
"Taillon, Jameson",jamesonTaillon.csv,2022-04-16,663266,2022,BAL,NYY,L,R,3,Bot,2,3,0,24,4,0,0,1,0,2,1,5,1,31,28,Infield shade,Standard,FF,4-Seam Fastball,0.011221,2.047686,low_center
"Taillon, Jameson",jamesonTaillon.csv,2022-04-16,663266,2022,BAL,NYY,R,R,3,Bot,2,0,0,25,1,0,0,0,2,2,1,5,1,31,28,Standard,Standard,SL,Slider,0.008316,1.764876,low_center
"Taillon, Jameson",jamesonTaillon.csv,2022-04-16,663266,2022,BAL,NYY,R,R,3,Bot,2,0,1,25,2,0,0,0,2,2,1,5,1,31,28,Standard,Standard,CU,Curveball,0.675387,1.481122,below_right
"Taillon, Jameson",jamesonTaillon.csv,2022-04-16,663266,2022,BAL,NYY,R,R,3,Bot,2,0,2,25,3,0,0,0,2,2,1,5,1,31,28,Standard,Standard,FF,4-Seam Fastball,-0.089667,3.613009,above_center
"Taillon, Jameson",jamesonTaillon.csv,2022-04-16,663266,2022,BAL,NYY,R,R,3,Bot,2,0,2,25,4,0,0,0,2,2,1,5,1,31,28,Standard,Standard,CU,Curveball,0.529379,0.646309,below_right
