pitcher_name,source_file,game_date,game_pk,game_year,home_team,away_team,stand,p_throws,inning,inning_topbot,outs_when_up,balls,strikes,at_bat_number,pitch_number,runners_on_1b,runners_on_2b,runners_on_3b,bat_score_diff,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,age_pit,age_bat,if_fielding_alignment,of_fielding_alignment,target_pitch_type,target_pitch_name,target_plate_x,target_plate_z,target_location_bucket
"Fried, Max",maxFried.csv,2022-04-07,661577,2022,ATL,CIN,R,L,1,Top,0,0,0,1,1,0,0,0,0,1,0,6,1,28,26,Standard,Standard,FF,4-Seam Fastball,-0.221005,2.26653,middle_center
"Fried, Max",maxFried.csv,2022-04-07,661577,2022,ATL,CIN,R,L,1,Top,0,0,1,1,2,0,0,0,0,1,0,6,1,28,26,Standard,Standard,FF,4-Seam Fastball,0.114391,1.92443,low_center
"Fried, Max",maxFried.csv,2022-04-07,661577,2022,ATL,CIN,R,L,1,Top,0,0,2,1,3,0,0,0,0,1,0,6,1,28,26,Infield shift,Standard,FF,4-Seam Fastball,-0.605663,3.348637,high_left
"Fried, Max",maxFried.csv,2022-04-07,661577,2022,ATL,CIN,R,L,1,Top,1,0,0,2,1,0,0,0,0,1,0,6,1,28,28,Infield shift,Standard,CU,Curveball,-0.269929,2.767018,middle_center
"Fried, Max",maxFried.csv,2022-04-07,661577,2022,ATL,CIN,R,L,1,Top,1,0,1,2,2,0,0,0,0,1,0,6,1,28,28,Infield shift,Standard,CU,Curveball,0.737741,2.921562,middle_right
"Fried, Max",maxFried.csv,2022-04-07,661577,2022,ATL,CIN,R,L,1,Top,1,1,1,2,3,0,0,0,0,1,0,6,1,28,28,Infield shift,Standard,SL,Slider,-1.062686,1.673611,low_outside
"Fried, Max",maxFried.csv,2022-04-07,661577,2022,ATL,CIN,R,L,1,Top,1,1,2,2,4,0,0,0,0,1,0,6,1,28,28,Standard,Strategic,FF,4-Seam Fastball,-0.628414,3.65366,above_left
"Fried, Max",maxFried.csv,2022-04-07,661577,2022,ATL,CIN,R,L,1,Top,1,1,2,2,5,0,0,0,0,1,0,6,1,28,28,Standard,Strategic,CU,Curveball,-0.310085,-0.193091,below_left
"Fried, Max",maxFried.csv,2022-04-07,661577,2022,ATL,CIN,R,L,1,Top,2,0,0,3,1,0,0,0,0,1,0,6,1,28,34,Standard,Standard,FF,4-Seam Fastball,-1.1268,3.222367,high_outside
"Fried, Max",maxFried.csv,2022-04-07,661577,2022,ATL,CIN,R,L,1,Top,2,1,0,3,2,0,0,0,0,1,0,6,1,28,34,Standard,Standard,SL,Slider,0.374986,3.41321,above_right
"Fried, Max",maxFried.csv,2022-04-07,661577,2022,ATL,CIN,R,L,1,Top,2,2,0,3,3,0,0,0,0,1,0,6,1,28,34,Standard,Standard,FF,4-Seam Fastball,-1.113839,2.525699,middle_outside
"Fried, Max",maxFried.csv,2022-04-07,661577,2022,ATL,CIN,L,L,2,Top,0,0,0,8,1,0,0,0,0,1,0,6,1,28,39,Infield shift,Standard,FF,4-Seam Fastball,-1.735803,2.674945,middle_outside
"Fried, Max",maxFried.csv,2022-04-07,661577,2022,ATL,CIN,L,L,2,Top,0,1,0,8,2,0,0,0,0,1,0,6,1,28,39,Infield shift,Standard,FF,4-Seam Fastball,-0.475989,2.813941,middle_left
"Fried, Max",maxFried.csv,2022-04-07,661577,2022,ATL,CIN,L,L,2,Top,0,1,1,8,3,0,0,0,0,1,0,6,1,28,39,Infield shift,Standard,FF,4-Seam Fastball,-1.053041,4.165304,above_outside
"Fried, Max",maxFried.csv,2022-04-07,661577,2022,ATL,CIN,L,L,2,Top,0,2,1,8,4,0,0,0,0,1,0,6,1,28,39,Infield shift,Standard,SL,Slider,-1.09406,2.770706,high_outside
"Fried, Max",maxFried.csv,2022-04-07,661577,2022,ATL,CIN,L,L,2,Top,0,2,2,8,5,0,0,0,0,1,0,6,1,28,39,Infield shift,Standard,FF,4-Seam Fastball,-0.437991,3.0454,high_left
"Fried, Max",maxFried.csv,2022-04-07,661577,2022,ATL,CIN,R,L,2,Top,1,0,0,9,1,0,0,0,0,1,0,6,1,28,26,Standard,Standard,SL,Slider,0.2225,3.201815,high_center
"Fried, Max",maxFried.csv,2022-04-07,661577,2022,ATL,CIN,R,L,2,Top,1,0,1,9,2,0,0,0,0,1,0,6,1,28,26,Standard,Standard,SL,Slider,-2.090192,0.622195,below_outside
"Fried, Max",maxFried.csv,2022-04-07,661577,2022,ATL,CIN,R,L,2,Top,1,0,0,10,1,1,0,0,0,1,0,6,1,28,27,Standard,Standard,CU,Curveball,0.22172,2.458741,middle_center
"Fried, Max",maxFried.csv,2022-04-07,661577,2022,ATL,CIN,R,L,2,Top,1,0,1,10,2,1,0,0,0,1,0,6,1,28,27,Standard,Standard,CU,Curveball,-0.034413,1.500095,below_center
"Fried, Max",maxFried.csv,2022-04-07,661577,2022,ATL,CIN,R,L,2,Top,1,1,1,10,3,1,0,0,0,1,0,6,1,28,27,Standard,Standard,SL,Slider,0.035619,2.418472,middle_center
"Fried, Max",maxFried.csv,2022-04-07,661577,2022,ATL,CIN,L,L,2,Top,1,0,0,11,1,1,1,0,0,1,0,6,1,28,34,Infield shift,Standard,FF,4-Seam Fastball,-1.829437,2.540016,middle_outside
"Fried, Max",maxFried.csv,2022-04-07,661577,2022,ATL,CIN,L,L,2,Top,1,1,0,11,2,1,1,0,0,1,0,6,1,28,34,Infield shift,Standard,FF,4-Seam Fastball,-0.892837,4.053475,above_outside
"Fried, Max",maxFried.csv,2022-04-07,661577,2022,ATL,CIN,L,L,2,Top,1,2,0,11,3,1,1,0,0,1,0,6,1,28,34,Infield shift,Standard,FF,4-Seam Fastball,-0.957687,2.325189,middle_outside
"Fried, Max",maxFried.csv,2022-04-07,661577,2022,ATL,CIN,R,L,2,Top,2,0,0,12,1,1,1,0,0,1,0,6,1,28,32,Infield shift,Standard,FF,4-Seam Fastball,-1.273521,3.564633,above_outside
"Fried, Max",maxFried.csv,2022-04-07,661577,2022,ATL,CIN,R,L,2,Top,2,1,0,12,2,1,1,0,0,1,0,6,1,28,32,Infield shift,Standard,SL,Slider,-0.5739,1.958469,low_left
"Fried, Max",maxFried.csv,2022-04-07,661577,2022,ATL,CIN,R,L,2,Top,2,0,0,13,1,1,1,0,1,1,0,6,1,28,30,Standard,Standard,CU,Curveball,0.772507,2.443334,middle_right
"Fried, Max",maxFried.csv,2022-04-07,661577,2022,ATL,CIN,R,L,2,Top,2,1,0,13,2,1,1,0,1,1,0,6,1,28,30,Standard,Standard,FF,4-Seam Fastball,-0.863883,2.684644,middle_outside
"Fried, Max",maxFried.csv,2022-04-07,661577,2022,ATL,CIN,R,L,2,Top,2,1,1,13,3,1,1,0,1,1,0,6,1,28,30,Standard,Standard,FF,4-Seam Fastball,0.357941,3.205926,high_right
"Fried, Max",maxFried.csv,2022-04-07,661577,2022,ATL,CIN,R,L,3,Top,0,0,0,17,1,0,0,0,1,2,1,6,1,28,26,Standard,Standard,CU,Curveball,-1.134482,1.194268,below_outside
"Fried, Max",maxFried.csv,2022-04-07,661577,2022,ATL,CIN,R,L,3,Top,0,1,0,17,2,0,0,0,1,2,1,6,1,28,26,Standard,Standard,CU,Curveball,0.891314,1.719819,low_inside
"Fried, Max",maxFried.csv,2022-04-07,661577,2022,ATL,CIN,R,L,3,Top,0,2,0,17,3,0,0,0,1,2,1,6,1,28,26,Standard,Standard,FF,4-Seam Fastball,-0.842685,1.504128,below_outside
"Fried, Max",maxFried.csv,2022-04-07,661577,2022,ATL,CIN,R,L,3,Top,0,2,1,17,4,0,0,0,1,2,1,6,1,28,26,Standard,Standard,FF,4-Seam Fastball,-0.097174,3.537286,above_center
"Fried, Max",maxFried.csv,2022-04-07,661577,2022,ATL,CIN,R,L,3,Top,0,2,2,17,5,0,0,0,1,2,1,6,1,28,26,Infield shift,Standard,FF,4-Seam Fastball,-1.01063,2.710419,middle_outside
"Fried, Max",maxFried.csv,2022-04-07,661577,2022,ATL,CIN,R,L,3,Top,0,0,0,18,1,1,0,0,1,2,1,6,1,28,28,Infield shift,Standard,FF,4-Seam Fastball,-0.895521,3.067525,high_outside
"Fried, Max",maxFried.csv,2022-04-07,661577,2022,ATL,CIN,R,L,3,Top,0,0,0,19,1,1,1,0,1,2,1,6,1,28,34,Standard,Standard,FF,4-Seam Fastball,0.51128,2.970361,high_right
"Fried, Max",maxFried.csv,2022-04-07,661577,2022,ATL,CIN,R,L,3,Top,0,0,1,19,2,1,1,0,1,2,1,6,1,28,34,Standard,Standard,FF,4-Seam Fastball,0.35466,3.895459,above_right
"Fried, Max",maxFried.csv,2022-04-07,661577,2022,ATL,CIN,R,L,3,Top,0,0,2,19,3,1,1,0,1,2,1,6,1,28,34,Standard,Standard,FF,4-Seam Fastball,0.467315,4.725924,above_right
"Fried, Max",maxFried.csv,2022-04-07,661577,2022,ATL,CIN,R,L,3,Top,0,1,2,19,4,1,1,0,1,2,1,6,1,28,34,Standard,Standard,FF,4-Seam Fastball,0.24252,4.086034,above_center
"Fried, Max",maxFried.csv,2022-04-07,661577,2022,ATL,CIN,R,L,3,Top,0,2,2,19,5,1,1,0,1,2,1,6,1,28,34,Standard,Standard,CU,Curveball,-0.290258,2.135072,low_left
"Fried, Max",maxFried.csv,2022-04-07,661577,2022,ATL,CIN,R,L,3,Top,0,2,2,19,6,1,1,0,1,2,1,6,1,28,34,Standard,Standard,FF,4-Seam Fastball,-0.889151,4.473678,above_outside
"Fried, Max",maxFried.csv,2022-04-07,661577,2022,ATL,CIN,R,L,3,Top,0,3,2,19,7,1,1,0,1,2,1,6,1,28,34,Standard,Standard,FF,4-Seam Fastball,-0.181764,4.111226,above_center
"Fried, Max",maxFried.csv,2022-04-07,661577,2022,ATL,CIN,L,L,3,Top,0,0,0,20,1,1,1,1,1,2,1,6,1,28,39,Infield shift,Standard,SL,Slider,-0.532888,4.585134,above_left
"Fried, Max",maxFried.csv,2022-04-07,661577,2022,ATL,CIN,L,L,3,Top,0,1,0,20,2,1,1,1,1,2,1,6,1,28,39,Infield shift,Standard,FF,4-Seam Fastball,-0.174312,3.905066,above_center
"Fried, Max",maxFried.csv,2022-04-07,661577,2022,ATL,CIN,L,L,3,Top,0,2,0,20,3,1,1,1,1,2,1,6,1,28,39,Infield shift,Standard,FF,4-Seam Fastball,-0.292115,2.402192,middle_left
"Fried, Max",maxFried.csv,2022-04-07,661577,2022,ATL,CIN,R,L,3,Top,0,0,0,21,1,1,1,1,2,2,1,6,1,28,26,Standard,Standard,CU,Curveball,-0.828245,0.408283,below_left
"Fried, Max",maxFried.csv,2022-04-07,661577,2022,ATL,CIN,R,L,3,Top,0,1,0,21,2,1,1,1,2,2,1,6,1,28,26,Standard,Standard,CU,Curveball,0.62979,2.624963,high_right
"Fried, Max",maxFried.csv,2022-04-07,661577,2022,ATL,CIN,R,L,3,Top,1,0,0,22,1,1,1,0,3,2,1,6,1,28,27,Standard,Standard,FF,4-Seam Fastball,0.336416,3.81176,above_right
"Fried, Max",maxFried.csv,2022-04-07,661577,2022,ATL,CIN,R,L,3,Top,1,1,0,22,2,1,1,0,3,2,1,6,1,28,27,Standard,Standard,CU,Curveball,0.155198,2.083327,low_center
"Fried, Max",maxFried.csv,2022-04-07,661577,2022,ATL,CIN,L,L,4,Top,0,0,0,29,1,0,0,0,2,2,1,6,1,28,34,Infield shift,Standard,SL,Slider,-0.565533,3.18807,high_left
"Fried, Max",maxFried.csv,2022-04-07,661577,2022,ATL,CIN,L,L,4,Top,0,0,1,29,2,0,0,0,2,2,1,6,1,28,34,Infield shift,Standard,SL,Slider,-2.307208,0.620919,below_outside
"Fried, Max",maxFried.csv,2022-04-07,661577,2022,ATL,CIN,L,L,4,Top,0,1,1,29,3,0,0,0,2,2,1,6,1,28,34,Infield shift,Standard,SI,Sinker,-0.047142,2.70944,middle_center
"Fried, Max",maxFried.csv,2022-04-07,661577,2022,ATL,CIN,L,L,4,Top,0,1,2,29,4,0,0,0,2,2,1,6,1,28,34,Standard,Standard,CU,Curveball,-0.767307,1.656988,low_left
"Fried, Max",maxFried.csv,2022-04-07,661577,2022,ATL,CIN,R,L,4,Top,1,0,0,30,1,0,0,0,2,2,1,6,1,28,32,Standard,Standard,CU,Curveball,0.011243,1.702011,low_center
"Fried, Max",maxFried.csv,2022-04-07,661577,2022,ATL,CIN,R,L,4,Top,1,0,1,30,2,0,0,0,2,2,1,6,1,28,32,Standard,Standard,CU,Curveball,0.992101,1.948627,low_inside
"Fried, Max",maxFried.csv,2022-04-07,661577,2022,ATL,CIN,R,L,4,Top,1,0,2,30,3,0,0,0,2,2,1,6,1,28,32,Standard,Standard,CU,Curveball,-0.875029,-0.583664,below_outside
"Fried, Max",maxFried.csv,2022-04-07,661577,2022,ATL,CIN,R,L,4,Top,1,1,2,30,4,0,0,0,2,2,1,6,1,28,32,Standard,Standard,FF,4-Seam Fastball,-0.223317,2.861921,high_center
"Fried, Max",maxFried.csv,2022-04-07,661577,2022,ATL,CIN,R,L,4,Top,2,0,0,31,1,0,0,0,2,2,1,6,1,28,30,Standard,Standard,SL,Slider,-0.488568,2.153012,low_left
"Fried, Max",maxFried.csv,2022-04-07,661577,2022,ATL,CIN,R,L,4,Top,2,0,1,31,2,0,0,0,2,2,1,6,1,28,30,Standard,Standard,CU,Curveball,0.710976,1.914761,low_right
"Fried, Max",maxFried.csv,2022-04-07,661577,2022,ATL,CIN,R,L,4,Top,2,0,2,31,3,0,0,0,2,2,1,6,1,28,30,Infield shift,Standard,FF,4-Seam Fastball,-0.642288,3.646541,above_left
"Fried, Max",maxFried.csv,2022-04-07,661577,2022,ATL,CIN,R,L,4,Top,2,0,0,32,1,1,0,0,2,3,2,6,1,28,26,Standard,Standard,CU,Curveball,0.738558,2.882651,high_right
"Fried, Max",maxFried.csv,2022-04-07,661577,2022,ATL,CIN,R,L,4,Top,2,0,1,32,2,1,0,0,2,3,2,6,1,28,26,Standard,Standard,CU,Curveball,-0.348341,1.093157,below_left
"Fried, Max",maxFried.csv,2022-04-07,661577,2022,ATL,CIN,R,L,4,Top,2,0,2,32,3,1,0,0,2,3,2,6,1,28,26,Infield shift,Standard,CH,Changeup,0.875248,2.025109,low_inside
"Fried, Max",maxFried.csv,2022-04-07,661577,2022,ATL,CIN,R,L,5,Top,0,0,0,37,1,0,0,0,2,3,2,6,1,28,28,Standard,Standard,CU,Curveball,1.344986,3.097082,high_inside
"Fried, Max",maxFried.csv,2022-04-07,661577,2022,ATL,CIN,R,L,5,Top,0,1,0,37,2,0,0,0,2,3,2,6,1,28,28,Standard,Standard,CH,Changeup,-0.787024,3.408235,high_left
"Fried, Max",maxFried.csv,2022-04-07,661577,2022,ATL,CIN,R,L,5,Top,0,2,0,37,3,0,0,0,2,3,2,6,1,28,28,Standard,Standard,SI,Sinker,-0.726999,3.1769,high_left
"Fried, Max",maxFried.csv,2022-04-07,661577,2022,ATL,CIN,R,L,5,Top,0,2,1,37,4,0,0,0,2,3,2,6,1,28,28,Standard,Standard,CH,Changeup,0.387839,2.56044,middle_right
"Fried, Max",maxFried.csv,2022-04-07,661577,2022,ATL,CIN,R,L,5,Top,0,2,2,37,5,0,0,0,2,3,2,6,1,28,28,Standard,Standard,CU,Curveball,0.132754,3.052745,high_center
"Fried, Max",maxFried.csv,2022-04-07,661577,2022,ATL,CIN,R,L,5,Top,1,0,0,38,1,0,0,0,2,3,2,6,1,28,34,Standard,Standard,CU,Curveball,-0.767307,2.328343,middle_left
"Fried, Max",maxFried.csv,2022-04-07,661577,2022,ATL,CIN,L,L,5,Top,2,0,0,39,1,0,0,0,2,3,2,6,1,28,39,Infield shift,Standard,FF,4-Seam Fastball,-0.304878,3.671408,above_left
"Fried, Max",maxFried.csv,2022-04-07,661577,2022,ATL,CIN,L,L,5,Top,2,0,1,39,2,0,0,0,2,3,2,6,1,28,39,Infield shift,Standard,SI,Sinker,0.419634,3.14419,high_right
"Fried, Max",maxFried.csv,2022-04-07,661577,2022,ATL,CIN,R,L,6,Top,0,0,0,43,1,0,0,0,2,3,2,6,1,28,26,Standard,Standard,SI,Sinker,0.345974,3.011401,high_right
"Fried, Max",maxFried.csv,2022-04-07,661577,2022,ATL,CIN,R,L,6,Top,1,0,0,44,1,0,0,0,2,3,2,6,1,28,27,Standard,Standard,FF,4-Seam Fastball,-0.838169,3.236614,above_outside
"Fried, Max",maxFried.csv,2022-04-07,661577,2022,ATL,CIN,R,L,6,Top,1,0,1,44,2,0,0,0,2,3,2,6,1,28,27,Standard,Standard,FF,4-Seam Fastball,-0.314408,2.829903,high_left
"Fried, Max",maxFried.csv,2022-04-07,661577,2022,ATL,CIN,R,L,6,Top,1,0,2,44,3,0,0,0,2,3,2,6,1,28,27,Standard,Standard,FF,4-Seam Fastball,-1.319697,3.423966,above_outside
"Fried, Max",maxFried.csv,2022-04-07,661577,2022,ATL,CIN,R,L,6,Top,1,0,2,44,4,0,0,0,2,3,2,6,1,28,27,Standard,Standard,SL,Slider,-1.249686,-0.327215,below_outside
"Fried, Max",maxFried.csv,2022-04-07,661577,2022,ATL,CIN,R,L,6,Top,1,1,2,44,5,0,0,0,2,3,2,6,1,28,27,Standard,Standard,CH,Changeup,0.724177,2.115638,low_right
"Fried, Max",maxFried.csv,2022-04-07,661577,2022,ATL,CIN,L,L,6,Top,2,0,0,45,1,0,0,0,2,3,2,6,1,28,34,Infield shift,Standard,SI,Sinker,0.325828,2.032266,low_right
"Fried, Max",maxFried.csv,2022-04-07,661577,2022,ATL,CIN,L,L,6,Top,2,0,1,45,2,0,0,0,2,3,2,6,1,28,34,Infield shift,Standard,SL,Slider,-0.621853,2.818955,high_left
"Fried, Max",maxFried.csv,2022-04-07,661577,2022,ATL,CIN,L,L,6,Top,2,0,2,45,3,0,0,0,2,3,2,6,1,28,34,Standard,Standard,SL,Slider,-2.065099,2.660105,middle_outside
"Fried, Max",maxFried.csv,2022-04-07,661577,2022,ATL,CIN,L,L,6,Top,2,1,2,45,4,0,0,0,2,3,2,6,1,28,34,Standard,Standard,CU,Curveball,-0.546931,2.155131,middle_left
"Fried, Max",maxFried.csv,2022-04-07,661577,2022,ATL,CIN,L,L,6,Top,2,1,2,45,5,0,0,0,2,3,2,6,1,28,34,Standard,Strategic,FF,4-Seam Fastball,-0.164661,3.204422,high_center
"Fried, Max",maxFried.csv,2022-04-07,661577,2022,ATL,CIN,R,L,6,Top,2,0,0,46,1,1,0,0,2,3,2,6,1,28,32,Infield shift,Standard,FF,4-Seam Fastball,-0.644958,3.585209,above_left
"Fried, Max",maxFried.csv,2022-04-07,661577,2022,ATL,CIN,R,L,6,Top,2,1,0,46,2,1,0,0,2,3,2,6,1,28,32,Infield shift,Standard,CH,Changeup,1.034003,2.684446,middle_inside
"Fried, Max",maxFried.csv,2022-04-13,661570,2022,ATL,WSH,R,L,1,Top,0,0,0,1,1,0,0,0,0,1,0,6,1,28,32,Standard,Standard,FF,4-Seam Fastball,-0.642086,2.475869,middle_left
"Fried, Max",maxFried.csv,2022-04-13,661570,2022,ATL,WSH,R,L,1,Top,0,0,1,1,2,0,0,0,0,1,0,6,1,28,32,Standard,Standard,SL,Slider,-0.545801,1.563369,low_left
"Fried, Max",maxFried.csv,2022-04-13,661570,2022,ATL,WSH,R,L,1,Top,0,0,2,1,3,0,0,0,0,1,0,6,1,28,32,Infield shift,Standard,FF,4-Seam Fastball,-0.388431,2.563248,middle_left
"Fried, Max",maxFried.csv,2022-04-13,661570,2022,ATL,WSH,L,L,1,Top,0,0,0,2,1,1,0,0,0,1,0,6,1,28,24,Standard,Standard,SI,Sinker,0.515697,2.373998,middle_right
"Fried, Max",maxFried.csv,2022-04-13,661570,2022,ATL,WSH,R,L,1,Top,0,0,0,3,1,1,0,1,0,1,0,6,2,28,42,Standard,Standard,CH,Changeup,0.473484,1.607212,low_right
"Fried, Max",maxFried.csv,2022-04-13,661570,2022,ATL,WSH,R,L,1,Top,0,0,1,3,2,1,0,1,0,1,0,6,2,28,42,Standard,Standard,SI,Sinker,2.390884,3.671619,above_inside
"Fried, Max",maxFried.csv,2022-04-13,661570,2022,ATL,WSH,R,L,1,Top,0,1,1,3,3,0,1,1,0,1,0,6,2,28,42,Standard,Standard,FF,4-Seam Fastball,-0.512644,2.65344,middle_left
"Fried, Max",maxFried.csv,2022-04-13,661570,2022,ATL,WSH,R,L,1,Top,0,1,2,3,4,0,1,1,0,1,0,6,2,28,42,Standard,Standard,CU,Curveball,-0.735479,1.46546,below_left
"Fried, Max",maxFried.csv,2022-04-13,661570,2022,ATL,WSH,R,L,1,Top,0,1,2,3,5,0,1,1,0,1,0,6,2,28,42,Standard,Standard,CU,Curveball,-0.44953,-0.459928,below_left
"Fried, Max",maxFried.csv,2022-04-13,661570,2022,ATL,WSH,R,L,1,Top,0,2,2,3,6,0,1,1,0,1,0,6,2,28,42,Standard,Standard,FF,4-Seam Fastball,0.861378,2.740226,middle_inside
"Fried, Max",maxFried.csv,2022-04-13,661570,2022,ATL,WSH,R,L,1,Top,1,0,0,4,1,0,1,1,0,1,0,6,1,28,30,Standard,Standard,SI,Sinker,1.510549,2.821929,middle_inside
"Fried, Max",maxFried.csv,2022-04-13,661570,2022,ATL,WSH,R,L,1,Top,1,1,0,4,2,0,1,1,0,1,0,6,1,28,30,Standard,Standard,CU,Curveball,-0.045854,2.001903,low_center
"Fried, Max",maxFried.csv,2022-04-13,661570,2022,ATL,WSH,R,L,1,Top,2,0,0,5,1,0,0,1,1,1,0,6,1,28,30,Standard,Standard,FF,4-Seam Fastball,0.053349,3.471938,above_center
"Fried, Max",maxFried.csv,2022-04-13,661570,2022,ATL,WSH,R,L,1,Top,2,0,0,6,1,0,1,0,2,1,0,6,1,28,27,Standard,Standard,SL,Slider,-0.420111,2.616252,middle_left
"Fried, Max",maxFried.csv,2022-04-13,661570,2022,ATL,WSH,R,L,1,Top,2,0,1,6,2,0,1,0,2,1,0,6,1,28,27,Standard,Standard,SL,Slider,-0.361545,2.043924,low_left
"Fried, Max",maxFried.csv,2022-04-13,661570,2022,ATL,WSH,R,L,2,Top,0,0,0,10,1,0,0,0,2,1,0,6,2,28,36,Standard,Standard,SL,Slider,0.130323,3.396479,high_center
"Fried, Max",maxFried.csv,2022-04-13,661570,2022,ATL,WSH,R,L,2,Top,0,0,1,10,2,0,0,0,2,1,0,6,2,28,36,Standard,Standard,CU,Curveball,0.659679,1.535799,below_right
"Fried, Max",maxFried.csv,2022-04-13,661570,2022,ATL,WSH,R,L,2,Top,1,0,0,11,1,0,0,0,2,1,0,6,4,28,26,Standard,Standard,FF,4-Seam Fastball,1.043781,3.61645,above_inside
"Fried, Max",maxFried.csv,2022-04-13,661570,2022,ATL,WSH,R,L,2,Top,1,1,0,11,2,0,0,0,2,1,0,6,4,28,26,Standard,Standard,FF,4-Seam Fastball,1.341597,3.787368,above_inside
"Fried, Max",maxFried.csv,2022-04-13,661570,2022,ATL,WSH,R,L,2,Top,1,2,0,11,3,0,0,0,2,1,0,6,4,28,26,Standard,Standard,SL,Slider,-0.183605,1.40771,below_center
"Fried, Max",maxFried.csv,2022-04-13,661570,2022,ATL,WSH,R,L,2,Top,1,2,1,11,4,0,0,0,2,1,0,6,4,28,26,Standard,Standard,SL,Slider,-0.544391,1.242486,below_left
"Fried, Max",maxFried.csv,2022-04-13,661570,2022,ATL,WSH,R,L,2,Top,1,2,2,11,5,0,0,0,2,1,0,6,4,28,26,Standard,Standard,SL,Slider,0.057643,2.574518,middle_center
"Fried, Max",maxFried.csv,2022-04-13,661570,2022,ATL,WSH,R,L,2,Top,2,0,0,12,1,0,0,0,2,1,0,6,1,28,25,Infield shade,Standard,FF,4-Seam Fastball,-0.318436,2.23311,middle_left
"Fried, Max",maxFried.csv,2022-04-13,661570,2022,ATL,WSH,R,L,3,Top,0,0,0,16,1,0,0,0,2,2,1,6,1,28,32,Standard,Standard,SL,Slider,0.313875,3.419289,above_right
"Fried, Max",maxFried.csv,2022-04-13,661570,2022,ATL,WSH,R,L,3,Top,0,1,0,16,2,0,0,0,2,2,1,6,1,28,32,Standard,Standard,FF,4-Seam Fastball,1.410037,2.8315,high_inside
"Fried, Max",maxFried.csv,2022-04-13,661570,2022,ATL,WSH,R,L,3,Top,0,2,0,16,3,0,0,0,2,2,1,6,1,28,32,Standard,Standard,SL,Slider,0.2929,3.126262,high_right
"Fried, Max",maxFried.csv,2022-04-13,661570,2022,ATL,WSH,R,L,3,Top,0,2,1,16,4,0,0,0,2,2,1,6,1,28,32,Standard,Standard,SI,Sinker,1.22533,3.457972,above_inside
"Fried, Max",maxFried.csv,2022-04-13,661570,2022,ATL,WSH,R,L,3,Top,0,3,1,16,5,0,0,0,2,2,1,6,1,28,32,Standard,Standard,SI,Sinker,-0.012664,1.816471,low_center
"Fried, Max",maxFried.csv,2022-04-13,661570,2022,ATL,WSH,L,L,3,Top,1,0,0,17,1,0,0,0,2,2,1,6,1,28,24,Standard,Standard,SI,Sinker,0.391196,2.604484,high_right
"Fried, Max",maxFried.csv,2022-04-13,661570,2022,ATL,WSH,L,L,3,Top,1,0,1,17,2,0,0,0,2,2,1,6,1,28,24,Standard,Standard,CH,Changeup,1.75023,2.982658,high_inside
"Fried, Max",maxFried.csv,2022-04-13,661570,2022,ATL,WSH,L,L,3,Top,1,1,1,17,3,0,0,0,2,2,1,6,1,28,24,Standard,Standard,CU,Curveball,-1.025716,1.71008,low_outside
"Fried, Max",maxFried.csv,2022-04-13,661570,2022,ATL,WSH,L,L,3,Top,1,1,2,17,4,0,0,0,2,2,1,6,1,28,24,Standard,Standard,SL,Slider,-2.114732,0.942323,below_outside
"Fried, Max",maxFried.csv,2022-04-13,661570,2022,ATL,WSH,L,L,3,Top,1,2,2,17,5,0,0,0,2,2,1,6,1,28,24,Standard,Standard,SI,Sinker,1.200942,2.799298,middle_inside
"Fried, Max",maxFried.csv,2022-04-13,661570,2022,ATL,WSH,L,L,3,Top,1,2,2,17,6,0,0,0,2,2,1,6,1,28,24,Standard,Standard,SL,Slider,-1.00711,1.895407,low_outside
"Fried, Max",maxFried.csv,2022-04-13,661570,2022,ATL,WSH,R,L,3,Top,2,0,0,18,1,0,0,0,2,2,1,6,2,28,42,Standard,Standard,SI,Sinker,0.785134,3.180181,high_right
"Fried, Max",maxFried.csv,2022-04-13,661570,2022,ATL,WSH,R,L,4,Top,0,0,0,22,1,0,0,0,2,2,1,6,1,28,30,Standard,Standard,FF,4-Seam Fastball,0.150291,3.99889,above_center
"Fried, Max",maxFried.csv,2022-04-13,661570,2022,ATL,WSH,R,L,4,Top,0,1,0,22,2,0,0,0,2,2,1,6,1,28,30,Standard,Standard,FF,4-Seam Fastball,-0.439958,3.766948,above_left
"Fried, Max",maxFried.csv,2022-04-13,661570,2022,ATL,WSH,R,L,4,Top,0,1,1,22,3,0,0,0,2,2,1,6,1,28,30,Standard,Standard,FF,4-Seam Fastball,0.718646,2.690444,middle_right
"Fried, Max",maxFried.csv,2022-04-13,661570,2022,ATL,WSH,R,L,4,Top,0,1,2,22,4,0,0,0,2,2,1,6,1,28,30,Standard,Standard,SL,Slider,-0.016791,1.199019,below_center
"Fried, Max",maxFried.csv,2022-04-13,661570,2022,ATL,WSH,R,L,4,Top,0,1,2,22,5,0,0,0,2,2,1,6,1,28,30,Standard,Standard,FF,4-Seam Fastball,-0.366985,1.79972,low_left
"Fried, Max",maxFried.csv,2022-04-13,661570,2022,ATL,WSH,R,L,4,Top,0,0,0,23,1,0,1,0,2,2,1,6,1,28,30,Standard,Standard,CU,Curveball,1.110458,3.285125,above_inside
